step,loss/policy_loss
10000,0.15047853321438381
20000,0.22575740026119076
30000,0.3003116990569478
40000,0.047891095289717044
50000,0.09552967098514231
60000,0.05028747911799238
70000,0.1875334551016525
80000,0.05070643016880581
90000,0.15651787537557027
100000,0.04041471392308799
110000,0.19846542191273026
120000,0.06723851430893828
130000,0.06707485200335948
140000,0.28721657555369356
150000,0.07501137018575185
160000,0.10088744894077897
170000,0.06562157932367586
180000,0.07494755755896533
190000,0.11140741202644164
200000,0.07063617466618542
210000,0.05544832272599046
220000,0.04048205311077688
230000,0.03451388813326904
240000,0.7781501592564601
250000,0.06864745296642996
260000,0.17786519186631888
270000,0.11233708892851017
280000,0.44310937303294207
290000,0.21892526202201087
300000,0.08125604726093336
310000,0.07967282445289083
320000,0.08893103532287204
330000,0.08376408928017187
340000,0.2722570053182138
350000,0.04860642286406511
360000,0.08153495201873782
370000,0.09771458479422156
380000,0.07008951141035444
390000,0.052651980935140105
400000,0.03121259183770329
410000,0.10253606658081445
420000,0.059017870513210266
430000,0.09053926900330513
440000,0.0881413196856904
450000,0.017577481996020196
460000,0.07176862690486317
470000,0.09460823853726574
480000,0.29012808229371695
490000,0.16366579061601655
500000,0.16561970624892414
