step,adv_reward/adv_reward_scaled_mean
10000,13.078536033630371
20000,11.024670600891113
30000,10.948305130004883
40000,12.124114990234375
50000,14.544976234436035
60000,12.309938430786133
70000,13.621441841125488
80000,11.325876235961914
90000,14.485309600830078
100000,12.969752311706543
110000,14.760554313659668
120000,11.791101455688477
130000,6.736350059509277
140000,16.70010757446289
150000,12.635401725769043
160000,9.97030258178711
170000,14.622756004333496
180000,27.728160858154297
190000,14.385932922363281
200000,11.572840690612793
210000,15.611329078674316
220000,15.274162292480469
230000,11.325833320617676
240000,74.0294189453125
250000,11.836600303649902
260000,13.950032234191895
270000,11.675834655761719
280000,14.6695556640625
290000,11.972121238708496
300000,12.188779830932617
310000,14.75394058227539
320000,18.421846389770508
330000,11.405789375305176
340000,72.43964385986328
350000,11.89278507232666
360000,10.24609661102295
370000,29.31348991394043
380000,11.616988182067871
390000,14.119216918945312
400000,11.541597366333008
410000,14.352066040039062
420000,13.47760009765625
430000,13.357305526733398
440000,14.561485290527344
450000,14.283784866333008
460000,13.829568862915039
470000,11.166646957397461
480000,14.284184455871582
490000,72.99813842773438
500000,14.094901084899902
