step,adv_reward/adv_reward_scaled_max
2000,99.99984741210938
4000,100.0
6000,100.0
8000,100.0
10000,100.0
12000,100.0
14000,100.0
16000,-21.02948570251465
18000,-56.72100830078125
20000,99.99980926513672
22000,8.499485969543457
24000,100.0
26000,100.0
28000,7.883166790008545
30000,-39.506866455078125
32000,100.0
34000,-47.332542419433594
36000,98.60566711425781
38000,100.0
40000,99.46977996826172
42000,100.0
44000,-33.57761001586914
46000,-29.424991607666016
48000,100.0
50000,99.59505462646484
52000,-57.553062438964844
54000,99.33094024658203
56000,100.0
58000,13.714509963989258
60000,-58.188968658447266
62000,-35.292911529541016
64000,100.0
66000,96.17713928222656
68000,-30.830791473388672
70000,100.0
72000,100.0
74000,88.66656494140625
76000,99.57611083984375
78000,100.0
80000,100.0
82000,100.0
84000,100.0
86000,7.379627227783203
88000,100.0
90000,-55.22606658935547
92000,99.99999237060547
94000,100.0
96000,100.0
98000,99.82228088378906
100000,-61.018028259277344
