step,adv_reward/adv_reward_raw_mean
2000,39.05934143066406
4000,176.75482177734375
6000,191.54940795898438
8000,75.72000885009766
10000,128.6964569091797
12000,259.2467041015625
14000,362.8945007324219
16000,320.91265869140625
18000,375.6617126464844
20000,141.64007568359375
22000,157.98776245117188
24000,183.3125
26000,280.6448669433594
28000,41.38753890991211
30000,442.50677490234375
32000,156.62461853027344
34000,7.302239418029785
36000,15.518617630004883
38000,1.073791742324829
40000,37.531089782714844
42000,338.1241455078125
44000,75.0615234375
46000,152.02035522460938
48000,36.34881591796875
50000,2.7778773307800293
52000,236.20730590820312
54000,414.10235595703125
56000,160.8837890625
58000,8.837335586547852
60000,3.1073362827301025
62000,25.352270126342773
64000,186.24530029296875
66000,130.75230407714844
68000,13.283596992492676
70000,421.7887268066406
72000,199.70187377929688
74000,5.400937080383301
76000,31.011959075927734
78000,71.3406753540039
80000,1.2008891105651855
82000,258.4156494140625
84000,69.10041809082031
86000,175.7339324951172
88000,66.25818634033203
90000,284.2015075683594
92000,171.40798950195312
94000,231.9581298828125
96000,75.16841888427734
98000,310.4018859863281
100000,10.487245559692383
