step,adv_reward/adv_reward_scaled_max
2000,99.96265411376953
4000,100.0
6000,100.0
8000,99.99747467041016
10000,99.99999237060547
12000,100.0
14000,100.0
16000,100.0
18000,100.0
20000,100.0
22000,100.0
24000,100.0
26000,100.0
28000,99.63273620605469
30000,100.0
32000,100.0
34000,70.60337829589844
36000,85.6066665649414
38000,41.46052932739258
40000,99.98953247070312
42000,100.0
44000,99.99714660644531
46000,100.0
48000,98.7104721069336
50000,50.5591926574707
52000,100.0
54000,100.0
56000,100.0
58000,82.1279067993164
60000,36.637840270996094
62000,97.82454681396484
64000,100.0
66000,99.99999237060547
68000,93.71517944335938
70000,100.0
72000,100.0
74000,58.69660949707031
76000,99.7737045288086
78000,99.98824310302734
80000,34.747798919677734
82000,100.0
84000,99.98277282714844
86000,100.0
88000,99.97562408447266
90000,100.0
92000,100.0
94000,100.0
96000,99.99459075927734
98000,100.0
100000,77.22996520996094
