step,stat/constraint_violation
2000,1101
4000,2248
6000,3381
8000,4426
10000,5439
12000,6371
14000,7198
16000,7969
18000,9044
20000,9919
22000,10799
24000,11954
26000,12856
28000,13601
30000,14422
32000,15254
34000,16025
36000,17041
38000,17930
40000,18769
42000,19661
44000,20645
46000,21662
48000,22465
50000,23126
52000,23802
54000,24738
56000,25485
58000,26252
60000,26984
62000,27720
64000,28530
66000,29210
68000,29882
70000,30386
72000,31206
74000,31913
76000,32523
78000,33206
80000,33912
82000,34837
84000,35526
86000,36186
88000,36980
90000,37767
92000,38649
94000,39577
96000,40537
98000,41302
100000,41943
