step,loss/value_loss
10000,443422.233227141
20000,270618.50420192134
30000,210790.3915374806
40000,243210.93426072504
50000,163073.40413219813
60000,89188.9033068103
70000,144592.6104714796
80000,169822.99632258998
90000,64487.37899891734
100000,93027.52064942608
110000,49623.09917553201
120000,51440.882837355064
130000,18244.661982408936
140000,8656.482297410657
150000,10925.274911546658
160000,4918.305838092
170000,5546.784525681057
180000,17102.318863161687
190000,7994.009727627263
200000,12601.30502126815
210000,22575.788619324325
220000,4754.604980331362
230000,10852.6494934471
240000,9701.353597902726
250000,4088.2174517556523
260000,3511.2507773037078
270000,3249.9691440418146
280000,19000.31310515864
290000,2429.156351519944
300000,9031.263838635165
310000,6391.547493218963
320000,5934.196812530883
330000,3046.3634826463212
340000,4265.1477449395325
350000,2508.9812322615207
360000,3694.5512423327064
370000,7222.919941881201
380000,8173.337120410981
390000,8681.893122954334
400000,3615.7149703594346
410000,12806.607117445647
420000,3268.532378611274
430000,11102.725044350846
440000,6554.165541194734
450000,3745.223327987112
460000,2539.935552789023
470000,2518.532578363928
480000,2840.2130358140976
490000,1809.8361123107109
500000,6601.902222642688
