step,stat/step_time
2000,0.6498761177062988
4000,0.6299412250518799
6000,0.6599419116973877
8000,0.7133467197418213
10000,0.5990991592407227
12000,0.6225390434265137
14000,0.5976176261901855
16000,0.5908818244934082
18000,0.6095972061157227
20000,0.5963621139526367
22000,0.5666050910949707
24000,0.6234509944915771
26000,0.584092378616333
28000,0.5719256401062012
30000,0.6198554039001465
32000,0.5929014682769775
34000,0.48542141914367676
36000,0.5824308395385742
38000,0.5587267875671387
40000,0.5435910224914551
42000,0.9911141395568848
44000,0.612114667892456
46000,0.6077935695648193
48000,0.6088316440582275
50000,0.5793094635009766
52000,0.5799124240875244
54000,0.595130205154419
56000,0.5597629547119141
58000,0.5566678047180176
60000,0.5647969245910645
62000,0.5533246994018555
64000,0.547736644744873
66000,0.580864667892456
68000,0.5928146839141846
70000,0.7309861183166504
72000,0.5069348812103271
74000,0.5806612968444824
76000,0.5609140396118164
78000,0.6175737380981445
80000,0.6332461833953857
82000,0.5459825992584229
84000,0.5609779357910156
86000,0.5716228485107422
88000,0.5420374870300293
90000,0.5090477466583252
92000,0.5634117126464844
94000,0.5500597953796387
96000,0.679560661315918
98000,0.5225791931152344
100000,0.5345063209533691
