step,stat/ep_length
2000,13.6
4000,13.9
6000,33.1
8000,31.3
10000,42.9
12000,51.4
14000,43.9
16000,39.0
18000,47.0
20000,50.6
22000,63.2
24000,52.5
26000,55.8
28000,57.8
30000,137.8
32000,108.0
34000,118.0
36000,61.3
38000,80.3
40000,88.1
42000,117.4
44000,39.0
46000,57.0
48000,105.6
50000,86.0
52000,68.2
54000,91.8
56000,87.1
58000,83.2
60000,109.4
62000,142.1
64000,143.5
66000,116.0
68000,102.3
70000,78.9
72000,149.0
74000,93.2
76000,95.8
78000,110.5
80000,135.0
82000,123.9
84000,131.3
86000,117.9
88000,140.2
90000,150.0
92000,74.8
94000,110.5
96000,150.0
98000,150.0
100000,138.4
