step,adv_reward/adv_reward_raw_mean
2000,-57.68992614746094
4000,92.45748901367188
6000,175.82662963867188
8000,95.01850891113281
10000,203.11378479003906
12000,86.05061340332031
14000,273.80621337890625
16000,134.69680786132812
18000,278.3598937988281
20000,35.12060546875
22000,-15.497557640075684
24000,-10.124663352966309
26000,178.0313262939453
28000,131.5716552734375
30000,5.449991226196289
32000,60.10529327392578
34000,-15.0
36000,29.609312057495117
38000,229.8399658203125
40000,30.654766082763672
42000,6.629589557647705
44000,-16.191558837890625
46000,82.20733642578125
48000,172.65859985351562
50000,-15.0
52000,-15.0
54000,-15.0
56000,183.88479614257812
58000,54.449520111083984
60000,-15.0
62000,-15.0
64000,96.00999450683594
66000,-15.0
68000,84.20518493652344
70000,281.09222412109375
72000,-15.0
74000,-15.246345520019531
76000,23.63874053955078
78000,134.0135040283203
80000,42.94200897216797
82000,111.9368896484375
84000,4.583848476409912
86000,71.78140258789062
88000,-15.837174415588379
90000,158.6641082763672
92000,143.4591064453125
94000,174.4566650390625
96000,91.17384338378906
98000,5.5920844078063965
100000,29.238943099975586
