step,adv_reward/adv_reward_raw_mean
2000,72.4809799194336
4000,220.6741943359375
6000,174.40023803710938
8000,70.5169677734375
10000,157.8177032470703
12000,82.14358520507812
14000,304.81005859375
16000,0.4531230926513672
18000,-13.107059478759766
20000,156.87509155273438
22000,-10.763200759887695
24000,82.30754089355469
26000,194.26622009277344
28000,31.378873825073242
30000,124.596923828125
32000,195.75570678710938
34000,207.85986328125
36000,202.54867553710938
38000,169.12464904785156
40000,188.28964233398438
42000,145.33151245117188
44000,298.06591796875
46000,361.11883544921875
48000,313.3721008300781
50000,348.81195068359375
52000,297.262451171875
54000,267.69671630859375
56000,188.10296630859375
58000,240.70999145507812
60000,332.4599609375
62000,278.7447509765625
64000,358.9699401855469
66000,216.50477600097656
68000,259.0132141113281
70000,645.1787109375
72000,487.4103698730469
74000,146.96620178222656
76000,355.82391357421875
78000,443.7030944824219
80000,277.93310546875
82000,85.82489776611328
84000,452.5161437988281
86000,187.212646484375
88000,317.955078125
90000,61.98634338378906
92000,430.600830078125
94000,185.3472900390625
96000,322.96905517578125
98000,59.18305206298828
100000,14.177017211914062
