step,adv_reward/adv_reward_scaled_mean
2000,89.72674560546875
4000,50.00008010864258
6000,100.0
8000,99.98567199707031
10000,99.99999237060547
12000,100.0
14000,100.0
16000,100.0
18000,100.0
20000,100.0
22000,100.0
24000,100.0
26000,100.0
28000,99.11708068847656
30000,100.0
32000,100.0
34000,41.472938537597656
36000,72.8166275024414
38000,7.781551361083984
40000,87.73471069335938
42000,100.0
44000,99.98611450195312
46000,100.0
48000,98.42314910888672
50000,17.47103500366211
52000,100.0
54000,100.0
56000,100.0
58000,46.41309356689453
60000,20.176517486572266
62000,90.99050903320312
64000,100.0
66000,99.99999237060547
68000,64.02664184570312
70000,100.0
72000,100.0
74000,33.345027923583984
76000,89.14102935791016
78000,99.98493957519531
80000,7.937082290649414
82000,100.0
84000,99.97993469238281
86000,100.0
88000,99.9703369140625
90000,100.0
92000,100.0
94000,100.0
96000,99.9891357421875
98000,100.0
100000,54.157249450683594
