step,adv_reward/adv_reward_raw_min
2000,12.514314651489258
4000,-100.0
6000,188.24525451660156
8000,63.604732513427734
10000,125.38753509521484
12000,252.78883361816406
14000,350.7933349609375
16000,308.26336669921875
18000,372.3078918457031
20000,137.52345275878906
22000,143.79354858398438
24000,174.41542053222656
26000,278.4091491699219
28000,38.093849182128906
30000,436.5403747558594
32000,147.37879943847656
34000,-1.3954689502716064
36000,5.782160758972168
38000,-8.754831314086914
40000,9.5150728225708
42000,330.5664367675781
44000,66.17720031738281
46000,149.08250427246094
48000,34.97268295288086
50000,-8.936521530151367
52000,221.5633087158203
54000,406.32562255859375
56000,155.777099609375
58000,2.0714457035064697
60000,1.5669375658035278
62000,17.48603630065918
64000,183.4652099609375
66000,128.60513305664062
68000,7.984504222869873
70000,418.42095947265625
72000,196.3189239501953
74000,2.219290256500244
76000,15.035988807678223
78000,69.49787139892578
80000,-5.575723648071289
82000,251.14674377441406
84000,67.99473571777344
86000,171.93386840820312
88000,64.11537170410156
90000,283.11431884765625
92000,161.97154235839844
94000,220.3815460205078
96000,67.6290054321289
98000,307.7878723144531
100000,-0.4190629720687866
