step,adv_reward/adv_reward_scaled_min
2000,99.9886474609375
4000,99.99994659423828
6000,99.99999237060547
8000,98.57559204101562
10000,98.91358947753906
12000,100.0
14000,100.0
16000,45.058929443359375
18000,99.99882507324219
20000,-24.965274810791016
22000,100.0
24000,100.0
26000,99.99181365966797
28000,-99.74579620361328
30000,-62.24026870727539
32000,99.92162322998047
34000,-99.74579620361328
36000,-62.50791931152344
38000,99.84422302246094
40000,41.766204833984375
42000,99.99971008300781
44000,-35.211299896240234
46000,-66.52991485595703
48000,99.99984741210938
50000,99.96068572998047
52000,31.570632934570312
54000,-8.610567092895508
56000,99.99909210205078
58000,99.99732208251953
60000,99.27510070800781
62000,99.49555969238281
64000,90.0972671508789
66000,-66.7155532836914
68000,98.0552978515625
70000,99.99999237060547
72000,-38.19676971435547
74000,99.99517822265625
76000,82.2206039428711
78000,-39.904449462890625
80000,99.99996948242188
82000,99.99993896484375
84000,-41.66856384277344
86000,-38.96534729003906
88000,99.99898529052734
90000,99.95655822753906
92000,99.9999771118164
94000,100.0
96000,99.99959564208984
98000,99.93717956542969
100000,99.99388885498047
