step,loss/approx_kl
2000,-0.06739842486567796
4000,-0.018725096061825753
6000,-0.08302256988051036
8000,-0.043376453244127325
10000,-0.06755419575298825
12000,-0.04348131061997264
14000,-0.06667712707227716
16000,-0.07331159218835334
18000,-0.07625326039269567
20000,-0.08236687062308193
22000,0.06964203380048276
24000,-0.04728355885017663
26000,-0.03431023044977337
28000,-0.04743500984429071
30000,-0.04637603065154205
32000,-0.03538166290769974
34000,0.11740883470823367
36000,-0.055922489132111265
38000,-0.0677169097897907
40000,-0.04707679112131397
42000,-0.07364549602692326
44000,0.08196184357317784
46000,0.017281503998674445
48000,-0.027220965921878816
50000,-0.0327868912446623
52000,-0.04591461348657806
54000,-0.033220997018118696
56000,-0.042967576176549
58000,-0.07140537464680771
60000,-0.05855049146339297
62000,-0.02228958760388195
64000,-0.04561638458011051
66000,-0.014091041373709836
68000,-0.007491919646660487
70000,-0.02356621387104193
72000,0.15571199810753267
74000,0.007934386174504954
76000,-0.009375741876040896
78000,-0.0392958380592366
80000,-0.03317682140817245
82000,-0.06798459173490604
84000,-0.04207475016204019
86000,-0.06410653474740684
88000,-0.046369375707581637
90000,-0.026448577797661223
92000,-0.032518757569293184
94000,-0.0638200239588817
96000,-0.037571028340607875
98000,-0.0020050429118176295
100000,-0.02999502721553048
