step,adv_reward/adv_reward_squashed_min
2000,0.0008950040792115033
4000,0.0015846674796193838
6000,0.0010593394981697202
8000,0.0013119610957801342
10000,0.0013435311848297715
12000,0.00239953282289207
14000,0.0018042746232822537
16000,0.001063189934939146
18000,0.0018839172553271055
20000,0.0009306333959102631
22000,0.0010845544748008251
24000,0.0030387239530682564
26000,0.0010235888184979558
28000,0.0010015878360718489
30000,0.0014620489673689008
32000,0.0007519579376094043
34000,0.0014483651611953974
36000,0.0016836307477205992
38000,0.0009597833850421011
40000,0.0013229280011728406
42000,0.0022999595385044813
44000,0.0008213951950892806
46000,0.0013486432144418359
48000,0.0021356281358748674
50000,0.001302192104049027
52000,0.0013198560336604714
54000,0.0010370159288868308
56000,0.0013500648783519864
58000,0.0009335346985608339
60000,0.0015423200093209743
62000,0.0010894087608903646
64000,0.0011386042460799217
66000,0.0023242742754518986
68000,0.0008200276060961187
70000,0.0013093631714582443
72000,0.001391074387356639
74000,0.0010113846510648727
76000,0.0013076988980174065
78000,0.0016870618565008044
80000,0.001060505979694426
82000,0.0009995271684601903
84000,0.0016417022561654449
86000,0.0009974620770663023
88000,0.001312865992076695
90000,0.001430697157047689
92000,0.0013013908173888922
94000,0.001228478504344821
96000,0.0025006690993905067
98000,0.0010166033171117306
100000,0.0012881457805633545
