step,adv_reward/adv_reward_squashed_max
2000,0.002569357631728053
4000,0.0026996878441423178
6000,0.0027552973479032516
8000,0.005634402856230736
10000,0.0019008923554793
12000,0.004190787672996521
14000,0.005305262748152018
16000,0.0029733951669186354
18000,0.005173212848603725
20000,0.0022953597363084555
22000,0.002756347181275487
24000,0.004605593625456095
26000,0.0023946776054799557
28000,0.002165231155231595
30000,0.003171811578795314
32000,0.0023076378274708986
34000,0.003075845306739211
36000,0.002781322691589594
38000,0.0033357543870806694
40000,0.002261724090203643
42000,0.004607905633747578
44000,0.002101668855175376
46000,0.0020390108693391085
48000,0.004761167801916599
50000,0.002706061815842986
52000,0.0017339439364150167
54000,0.005740336142480373
56000,0.005576617084443569
58000,0.0015063165919855237
60000,0.004186741542071104
62000,0.0021289456635713577
64000,0.0019881301559507847
66000,0.006113823037594557
68000,0.0028437564615160227
70000,0.0059127407148480415
72000,0.004673002753406763
74000,0.002521648071706295
76000,0.002014047931879759
78000,0.0027912280056625605
80000,0.002082949271425605
82000,0.0023043309338390827
84000,0.0027794260531663895
86000,0.0015463822055608034
88000,0.002802228322252631
90000,0.005507984664291143
92000,0.003416039515286684
94000,0.0022010367829352617
96000,0.003052222076803446
98000,0.0016720250714570284
100000,0.00283113494515419
