step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,5.9
140000,3.9
150000,6.4
160000,7.9
170000,8.5
180000,8.3
190000,9.0
200000,4.1
210000,10.7
220000,7.5
230000,6.0
240000,8.7
250000,5.6
260000,7.0
270000,9.6
280000,7.1
290000,8.8
300000,5.9
310000,5.5
320000,6.0
330000,4.7
340000,9.6
350000,7.6
360000,3.9
370000,8.6
380000,7.1
390000,7.8
400000,7.1
410000,4.8
420000,8.5
430000,4.8
440000,4.5
450000,6.0
460000,5.5
470000,7.8
480000,10.9
490000,6.1
500000,9.0
