step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,44.83179959741269
140000,12.772088194532136
150000,36.21433024408872
160000,32.27327306578723
170000,38.366417514127306
180000,36.20101238289342
190000,61.587517092668236
200000,24.593665990888177
210000,62.56841331627176
220000,40.218745503787794
230000,45.68636042786443
240000,37.26526668315108
250000,27.625549180105146
260000,39.68894718220338
270000,40.56294069696965
280000,48.96427845889719
290000,53.09673746281116
300000,47.5831672414457
310000,44.027237681953565
320000,31.938524153884714
330000,34.7549621027149
340000,37.33251702807643
350000,24.9600746305154
360000,31.515939004585995
370000,44.97078659829806
380000,36.92380743563744
390000,41.79972829075762
400000,63.943054805126486
410000,29.433740540522955
420000,42.550043450547435
430000,37.03165348021215
440000,43.90547704557717
450000,32.976187967434086
460000,34.92215263209222
470000,34.97714212494507
480000,39.49324856904819
490000,53.23562907927889
500000,60.2371646974172
