step,stat/step_time
10000,3.6384453773498535
20000,3.869382858276367
30000,3.978062868118286
40000,3.7043793201446533
50000,3.699331283569336
60000,4.023635149002075
70000,3.509432792663574
80000,3.6611945629119873
90000,3.926114559173584
100000,3.841428279876709
110000,3.696627616882324
120000,3.793299674987793
130000,4.040315866470337
140000,4.474205493927002
150000,4.133798837661743
160000,4.144517421722412
170000,3.9564402103424072
180000,3.9743762016296387
190000,3.988471746444702
200000,4.278661727905273
210000,3.6972310543060303
220000,4.057966470718384
230000,3.7177059650421143
240000,3.9682140350341797
250000,4.432445526123047
260000,3.874317169189453
270000,3.802532196044922
280000,3.8130390644073486
290000,3.8730695247650146
300000,4.145187139511108
310000,3.8380045890808105
320000,4.237058162689209
330000,4.058776140213013
340000,3.917149782180786
350000,4.494563817977905
360000,4.110284328460693
370000,3.9605283737182617
380000,3.8973159790039062
390000,3.9754912853240967
400000,3.6163558959960938
410000,4.369542598724365
420000,3.6982734203338623
430000,4.146192789077759
440000,3.820194721221924
450000,4.045278787612915
460000,4.215481758117676
470000,4.154034852981567
480000,4.0348498821258545
490000,3.925471067428589
500000,3.6312594413757324
