step,adv_reward/adv_reward_scaled_max
10000,15.310846328735352
20000,11.256993293762207
30000,11.333612442016602
40000,12.517569541931152
50000,16.0365047454834
60000,14.964510917663574
70000,16.27721405029297
80000,12.043559074401855
90000,15.367461204528809
100000,14.932464599609375
110000,16.27214241027832
120000,12.881989479064941
130000,12.135538101196289
140000,67.05289459228516
150000,11.26173210144043
160000,13.434803009033203
170000,76.40480041503906
180000,33.675201416015625
190000,13.680800437927246
200000,14.219440460205078
210000,15.078241348266602
220000,26.520042419433594
230000,14.833266258239746
240000,14.200944900512695
250000,11.592778205871582
260000,16.21112823486328
270000,14.843121528625488
280000,13.687962532043457
290000,76.0270767211914
300000,74.85196685791016
310000,16.70635414123535
320000,14.985984802246094
330000,12.702176094055176
340000,14.081432342529297
350000,14.485276222229004
360000,13.42001724243164
370000,19.280933380126953
380000,12.61775016784668
390000,8.578444480895996
400000,76.97087860107422
410000,16.185787200927734
420000,15.272248268127441
430000,15.260136604309082
440000,15.884492874145508
450000,11.55859661102295
460000,7.1516804695129395
470000,76.48236083984375
480000,14.560098648071289
490000,73.21839141845703
500000,59.95901107788086
