step,adv_reward/adv_reward_raw_max
10000,8.60870361328125
20000,1.6729497909545898
30000,1.8177722692489624
40000,3.97778058052063
50000,9.728191375732422
60000,8.063691139221191
70000,10.093223571777344
80000,3.129742383956909
90000,8.69711685180664
100000,8.012893676757812
110000,10.085561752319336
120000,4.615853309631348
130000,3.2959671020507812
140000,66.8802261352539
150000,1.6819262504577637
160000,5.562439441680908
170000,76.31248474121094
180000,31.995697021484375
190000,5.975892543792725
200000,6.865616321563721
210000,8.243460655212402
220000,23.712921142578125
230000,7.855244159698486
240000,6.835407733917236
250000,2.3028435707092285
260000,9.993304252624512
270000,7.87093448638916
280000,5.987860202789307
290000,75.93240356445312
300000,74.74954223632812
310000,10.73668384552002
320000,8.097694396972656
330000,4.3024678230285645
340000,6.639626502990723
350000,7.29725456237793
360000,5.537441253662109
370000,14.425259590148926
380000,4.154354572296143
390000,-3.8888797760009766
400000,76.88198852539062
410000,9.954931259155273
420000,8.548318862915039
430000,8.529351234436035
440000,9.496088981628418
450000,2.2392828464508057
460000,-7.392897605895996
470000,76.3905258178711
480000,7.417891502380371
490000,73.10414123535156
500000,59.68096160888672
