step,loss/approx_kl
2000,-0.024956803404105207
4000,-0.02389019192196429
6000,-0.09935882341427107
8000,-0.04804322013321023
10000,-0.06711464565402517
12000,-0.0435635734271879
14000,-0.06777757701153556
16000,-0.06475505360091727
18000,-0.033419191278517245
20000,-0.07990417117252946
22000,-0.00012009501612434952
24000,-0.04640018367208541
26000,-0.05593037697641799
28000,-0.03589976946047197
30000,0.29120790484982234
32000,0.15027929718295735
34000,0.15271551376208664
36000,0.36864373671511813
38000,0.12800922961905598
40000,-0.05868934065413971
42000,-0.050178057956509294
44000,-0.04765185149541746
46000,-0.021780142242399353
48000,-0.0490666607938086
50000,-0.0780916032458966
52000,-0.049274256592616444
54000,-0.08055255454964935
56000,-0.08532092993458111
58000,-0.022681221676369507
60000,-0.07131064055332295
62000,-0.04140040443744511
64000,-0.0606387428784122
66000,-0.04032546219726403
68000,-0.02546453275717795
70000,-0.03162578150319557
72000,0.1402517973755797
74000,0.16741084673752388
76000,0.024364528075481454
78000,-0.026165239567247527
80000,-0.02078007077022145
82000,-0.04958761283196509
84000,0.01510050104310115
86000,-0.05900193070992826
88000,-0.06416156518583496
90000,-0.04827150256217767
92000,-0.04534220406009505
94000,-0.009078727973004182
96000,-0.028106300307748217
98000,-0.037899917992763224
100000,0.060813966020941745
