step,adv_reward/adv_reward_scaled_mean
2000,6.267045974731445
4000,109.46202087402344
6000,120.03437805175781
8000,142.1066131591797
10000,105.57376098632812
12000,1765.5128173828125
14000,221.97584533691406
16000,46.9696044921875
18000,7.5078277587890625
20000,7.914582252502441
22000,42.95354080200195
24000,89.67942810058594
26000,106.17611694335938
28000,6.544887542724609
30000,158.03228759765625
32000,110.68486022949219
34000,6.36357307434082
36000,5.643603324890137
38000,5.446012496948242
40000,5.5152153968811035
42000,15.28712272644043
44000,41.01220703125
46000,141.56280517578125
48000,6.4503679275512695
50000,5.967052936553955
52000,155.35450744628906
54000,154.6754608154297
56000,196.7927703857422
58000,7.582583427429199
60000,5.3773112297058105
62000,6.7111639976501465
64000,5.927326202392578
66000,6.550136566162109
68000,7.248023986816406
70000,5.737888813018799
72000,157.80189514160156
74000,6.670846939086914
76000,6.166249752044678
78000,96.09500122070312
80000,153.56419372558594
82000,169.74630737304688
84000,5.425596714019775
86000,6.169713973999023
88000,6.3531389236450195
90000,165.5425567626953
92000,6.924513339996338
94000,5.8915934562683105
96000,6.4195661544799805
98000,132.26766967773438
100000,4.296807289123535
