step,adv_reward/adv_reward_raw_min
2000,-100.0
4000,92.8280029296875
6000,110.92779541015625
8000,139.08294677734375
10000,95.18141174316406
12000,1755.2186279296875
14000,207.77276611328125
16000,39.57261276245117
18000,-8.123242378234863
20000,-8.738253593444824
22000,40.31321334838867
24000,80.0739974975586
26000,102.3821029663086
28000,-11.47857666015625
30000,148.29824829101562
32000,107.29124450683594
34000,-10.897823333740234
36000,-21.998966217041016
38000,-21.96743392944336
40000,-21.245649337768555
42000,-2.3400564193725586
44000,-100.0
46000,126.24269104003906
48000,-10.817136764526367
50000,-14.053303718566895
52000,146.53433227539062
54000,144.30599975585938
56000,191.84681701660156
58000,-10.071869850158691
60000,-22.84618377685547
62000,-10.991652488708496
64000,-13.244231224060059
66000,-11.026457786560059
68000,-22.927366256713867
70000,-23.619915008544922
72000,156.67369079589844
74000,-9.808144569396973
76000,-22.412137985229492
78000,88.2735366821289
80000,137.8623504638672
82000,168.537109375
84000,-24.28644561767578
86000,-12.635744094848633
88000,-10.889057159423828
90000,163.92298889160156
92000,-9.22432804107666
94000,-23.9670352935791
96000,-10.93069076538086
98000,122.28890228271484
100000,-25.693920135498047
