step,stat/ep_return
2000,10.825326574829187
4000,7.181114604017935
6000,8.783788075870527
8000,12.152268449883817
10000,17.250790816953078
12000,12.062319714594592
14000,14.108476010085303
16000,13.686087397324576
18000,16.989233460224565
20000,19.94589833323493
22000,11.238245845597302
24000,10.549059177018652
26000,12.036237593900815
28000,15.439325247430727
30000,18.46635522299787
32000,14.46939451764419
34000,8.363372522031574
36000,15.458550193896343
38000,15.05116638659158
40000,15.618596620152754
42000,13.218442899423518
44000,18.41195329531757
46000,16.687899822761715
48000,15.409635633336046
50000,23.073650180001223
52000,18.42694519664291
54000,26.496479820849892
56000,14.943855658367692
58000,17.82486823125222
60000,14.076476196119728
62000,16.754983343523765
64000,12.544422092071075
66000,15.766152228529625
68000,22.897739647417414
70000,23.137125576995764
72000,19.019609854712634
74000,24.625644715954802
76000,17.492888728784802
78000,26.039495286712434
80000,20.562840298991436
82000,18.460908501539823
84000,17.10175476937893
86000,19.722369937079666
88000,27.82013385619449
90000,39.15390893207821
92000,41.25773879871717
94000,30.772665784315354
96000,38.01495342101127
98000,50.83258025721449
100000,27.127020628581413
