step,stat/ep_constraint_violation
2000,10.1
4000,10.8
6000,11.6
8000,13.7
10000,18.0
12000,18.6
14000,18.7
16000,18.2
18000,17.5
20000,22.8
22000,25.8
24000,24.9
26000,22.0
28000,17.3
30000,20.2
32000,21.7
34000,22.3
36000,16.7
38000,21.8
40000,20.7
42000,28.8
44000,21.1
46000,30.3
48000,36.8
50000,27.3
52000,45.2
54000,43.8
56000,29.5
58000,31.1
60000,29.5
62000,23.7
64000,33.8
66000,18.9
68000,37.4
70000,46.7
72000,40.3
74000,21.6
76000,30.6
78000,25.6
80000,19.9
82000,25.3
84000,36.8
86000,25.2
88000,41.1
90000,43.6
92000,34.0
94000,38.6
96000,48.6
98000,44.2
100000,34.0
