step,adv_reward/adv_reward_temperature
10000,500.0
20000,500.0
30000,500.0
40000,500.0
50000,500.0
60000,500.0
70000,500.0
80000,500.0
90000,500.0
100000,500.0
110000,500.0
120000,500.0
130000,500.0
140000,500.0
150000,500.0
160000,500.0
170000,500.0
180000,500.0
190000,500.0
200000,500.0
210000,500.0
220000,500.0
230000,500.0
240000,500.0
250000,500.0
260000,500.0
270000,500.0
280000,500.0
290000,500.0
300000,500.0
310000,500.0
320000,500.0
330000,500.0
340000,500.0
350000,500.0
360000,500.0
370000,500.0
380000,500.0
390000,500.0
400000,500.0
410000,500.0
420000,500.0
430000,500.0
440000,500.0
450000,500.0
460000,500.0
470000,500.0
480000,500.0
490000,500.0
500000,500.0
