step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,49.71441806955015
140000,25.17092305436707
150000,45.67593601242951
160000,19.619649226439048
170000,30.85021147613977
180000,39.61437390948392
190000,57.83274139079028
200000,46.826816025802586
210000,49.28631568907723
220000,43.35695419175685
230000,58.972081869488456
240000,16.895200238625097
250000,27.75369792549235
260000,33.092260109875575
270000,44.10286624611322
280000,61.55434076323623
290000,34.99493370912701
300000,51.353162501082764
310000,28.819282873183017
320000,42.98224448693749
330000,38.83536696594222
340000,39.01950838646121
350000,52.096535593962884
360000,48.468999631226346
370000,45.406387008647144
380000,24.79403882617832
390000,51.759712030987444
400000,67.19336737709088
410000,57.662989210140424
420000,39.380276529581266
430000,46.77420873267666
440000,49.40407453461681
450000,29.491617026272316
460000,46.70836746897927
470000,43.249651765239
480000,37.02015351104694
490000,42.516361764708236
500000,52.06988858721944
