step,adv_reward/adv_reward_scaled_min
10000,17.297565460205078
20000,12.913406372070312
30000,12.99869155883789
40000,14.282710075378418
50000,18.072622299194336
60000,16.9261474609375
70000,18.328718185424805
80000,13.773038864135742
90000,17.357627868652344
100000,16.89242935180664
110000,18.32377815246582
120000,14.683367729187012
130000,17.68967056274414
140000,15.769865036010742
150000,17.75778579711914
160000,15.346968650817871
170000,14.739986419677734
180000,16.00653648376465
190000,17.316492080688477
200000,15.452935218811035
210000,17.542583465576172
220000,18.097444534301758
230000,22.5699462890625
240000,12.888371467590332
250000,15.340299606323242
260000,15.443757057189941
270000,14.081069946289062
280000,15.672599792480469
290000,19.140052795410156
300000,20.386438369750977
310000,16.394329071044922
320000,19.183109283447266
330000,14.620368957519531
340000,18.070173263549805
350000,15.624853134155273
360000,13.024357795715332
370000,18.397659301757812
380000,16.560775756835938
390000,16.60922622680664
400000,14.840112686157227
410000,20.257150650024414
420000,16.935483932495117
430000,17.05412483215332
440000,14.71070671081543
450000,18.6895694732666
460000,19.624574661254883
470000,14.484332084655762
480000,19.56372833251953
490000,18.157190322875977
500000,20.18817710876465
