step,stat/ep_length
2000,12.1
4000,14.3
6000,29.9
8000,34.2
10000,26.9
12000,43.6
14000,37.1
16000,41.4
18000,42.2
20000,40.3
22000,48.9
24000,45.2
26000,56.8
28000,43.3
30000,72.3
32000,41.1
34000,54.6
36000,40.9
38000,42.3
40000,46.6
42000,101.1
44000,45.5
46000,47.5
48000,50.8
50000,56.5
52000,83.8
54000,73.0
56000,52.1
58000,57.4
60000,68.8
62000,58.9
64000,46.3
66000,67.0
68000,82.2
70000,59.8
72000,40.5
74000,41.1
76000,41.3
78000,80.1
80000,101.2
82000,115.1
84000,83.4
86000,91.3
88000,106.3
90000,125.8
92000,101.0
94000,96.7
96000,142.8
98000,150.0
100000,150.0
