step,stat/ep_return
2000,5.085619183558461
4000,5.996364618072571
6000,7.435919526573139
8000,11.724230663078355
10000,8.80776325499575
12000,16.50775765235865
14000,16.842600893849248
16000,15.677295678782368
18000,12.632874726781456
20000,14.579023318403717
22000,20.400620409108807
24000,14.597555825454108
26000,20.260729496471818
28000,10.32615089711727
30000,24.60066654590231
32000,17.059903654153196
34000,21.233438168171958
36000,15.74936742604765
38000,15.692564709886692
40000,18.135884177987855
42000,38.1908806364646
44000,16.44227525009011
46000,19.489349375003655
48000,16.00582585837468
50000,21.320043890210442
52000,24.45116875001478
54000,29.776152361126826
56000,16.559794006697103
58000,20.597558746637887
60000,26.891768239651118
62000,22.197624316533993
64000,16.40645447283367
66000,25.557347892945124
68000,28.493157161640788
70000,21.025217254473525
72000,13.672601160032837
74000,8.261747265359379
76000,12.329527524526844
78000,24.268713156435258
80000,30.491764625635845
82000,36.64056303830023
84000,21.244225336873523
86000,22.86731338969312
88000,23.15616944990292
90000,26.91253424618349
92000,24.25182589910547
94000,28.629100441030978
96000,40.28300764682188
98000,43.6487425634654
100000,53.924787645340075
