step,adv_reward/adv_reward_scaled_min
2000,75.56510925292969
4000,6.534944534301758
6000,55.20863723754883
8000,5.588519096374512
10000,56.39989471435547
12000,56.0059814453125
14000,103.44253540039062
16000,6.5454840660095215
18000,14.93331527709961
20000,6.067495346069336
22000,70.63964080810547
24000,204.94969177246094
26000,95.23993682861328
28000,37.284507751464844
30000,71.66867065429688
32000,66.7235107421875
34000,5.518304347991943
36000,3.1138575077056885
38000,94.15824127197266
40000,3.1766061782836914
42000,3.0869140625
44000,59.07069396972656
46000,0.019077369943261147
48000,80.27326202392578
50000,83.43292236328125
52000,66.87884521484375
54000,71.20946502685547
56000,93.57176208496094
58000,80.06966400146484
60000,81.37408447265625
62000,99.87430572509766
64000,66.98490142822266
66000,229.94268798828125
68000,77.56114196777344
70000,66.5320053100586
72000,75.22541046142578
74000,5.9962897300720215
76000,63.60305404663086
78000,71.0645751953125
80000,80.3719253540039
82000,5.955577373504639
84000,66.80020904541016
86000,70.55144500732422
88000,254.0471954345703
90000,66.81028747558594
92000,66.44804382324219
94000,3.2528464794158936
96000,65.16736602783203
98000,0.019077369943261147
100000,111.08577728271484
