step,stat/step_time
10000,3.5604968070983887
20000,3.8198087215423584
30000,3.9597580432891846
40000,3.727865219116211
50000,3.6597838401794434
60000,3.9778940677642822
70000,4.394988775253296
80000,4.7955639362335205
90000,4.001673221588135
100000,3.7901391983032227
110000,3.701150417327881
120000,3.7999658584594727
130000,3.893428087234497
140000,3.9711148738861084
150000,3.5080087184906006
160000,3.9117250442504883
170000,3.6420276165008545
180000,4.106070518493652
190000,4.2389185428619385
200000,3.758519172668457
210000,4.020179986953735
220000,3.850430727005005
230000,3.8447139263153076
240000,4.273253679275513
250000,3.6831860542297363
260000,4.190629005432129
270000,3.899199962615967
280000,4.25724720954895
290000,3.9189035892486572
300000,3.8817801475524902
310000,3.9340035915374756
320000,3.7988390922546387
330000,4.266284942626953
340000,3.896267890930176
350000,3.7630503177642822
360000,3.973588705062866
370000,4.316986560821533
380000,4.399374008178711
390000,4.069396257400513
400000,4.265564441680908
410000,3.8921289443969727
420000,3.696331739425659
430000,3.9154558181762695
440000,4.238331079483032
450000,3.74324631690979
460000,3.781536102294922
470000,3.829885482788086
480000,3.8916192054748535
490000,4.329462766647339
500000,3.8105838298797607
