step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,49.6142674216641
140000,39.05760846978973
150000,58.63140634051886
160000,45.40531070650684
170000,67.14603647490267
180000,56.93980072188157
190000,35.44019305924095
200000,76.4470159323306
210000,51.80935872600295
220000,69.36394601959952
230000,66.12395317383645
240000,41.21777459059393
250000,73.50747596734585
260000,44.71409973170358
270000,56.05652483769374
280000,44.743077824069346
290000,60.943568500023005
300000,57.13314950649037
310000,67.34553895597004
320000,78.68586595740429
330000,33.817014062783024
340000,52.545994768703125
350000,63.040161041457296
360000,52.12811439225311
370000,53.63241362491662
380000,33.351527922866445
390000,52.05973206028241
400000,56.14472674724563
410000,57.20297753579723
420000,79.80663414146568
430000,59.850884133227304
440000,26.397783322617176
450000,54.21856368877458
460000,78.27753408213547
470000,66.49211060514544
480000,60.065603597974885
490000,55.7791324959325
500000,74.79312726503919
