step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,102.8
140000,63.8
150000,129.5
160000,77.7
170000,168.9
180000,85.7
190000,54.0
200000,117.1
210000,94.0
220000,98.8
230000,103.7
240000,80.8
250000,163.7
260000,69.6
270000,101.4
280000,73.2
290000,93.8
300000,100.0
310000,95.5
320000,142.7
330000,60.5
340000,108.3
350000,141.1
360000,99.3
370000,84.5
380000,60.8
390000,82.1
400000,87.8
410000,92.3
420000,133.9
430000,104.4
440000,49.6
450000,128.5
460000,160.9
470000,134.8
480000,113.3
490000,91.5
500000,139.6
