step,stat/ep_length
2000,14.3
4000,13.9
6000,33.1
8000,31.1
10000,20.3
12000,38.6
14000,40.9
16000,24.3
18000,41.8
20000,38.1
22000,40.2
24000,41.2
26000,43.1
28000,26.5
30000,34.6
32000,36.9
34000,18.0
36000,37.5
38000,43.5
40000,52.5
42000,50.5
44000,47.4
46000,54.6
48000,42.1
50000,43.4
52000,49.5
54000,48.9
56000,54.1
58000,68.7
60000,58.4
62000,58.4
64000,51.5
66000,50.8
68000,46.0
70000,67.2
72000,85.7
74000,37.8
76000,42.4
78000,94.1
80000,82.5
82000,111.0
84000,92.9
86000,90.7
88000,117.7
90000,110.7
92000,116.5
94000,111.9
96000,150.0
98000,139.2
100000,135.6
