step,stat/constraint_violation
2000,1210
4000,2319
6000,3405
8000,4511
10000,5567
12000,6605
14000,7593
16000,8506
18000,9622
20000,10614
22000,11616
24000,12590
26000,13405
28000,14260
30000,15499
32000,16683
34000,17900
36000,19128
38000,20112
40000,21179
42000,22208
44000,23210
46000,24033
48000,24965
50000,25765
52000,26579
54000,27172
56000,27894
58000,28468
60000,29276
62000,29967
64000,30802
66000,31540
68000,32303
70000,33057
72000,33554
74000,34691
76000,35900
78000,36651
80000,37170
82000,37594
84000,38691
86000,39416
88000,40035
90000,40950
92000,41805
94000,42226
96000,42880
98000,43443
100000,44280
