step,adv_reward/adv_reward_raw_mean
2000,100.29603576660156
4000,546.1002807617188
6000,236.97360229492188
8000,188.25314331054688
10000,265.0103454589844
12000,369.5706787109375
14000,558.2153930664062
16000,-8.19677734375
18000,-13.46214485168457
20000,92.08892822265625
22000,-12.071927070617676
24000,234.87350463867188
26000,290.08953857421875
28000,-7.638674736022949
30000,-10.27815055847168
32000,301.28399658203125
34000,-12.620086669921875
36000,32.12379837036133
38000,390.79827880859375
40000,1.8480167388916016
42000,281.0434875488281
44000,-12.437782287597656
46000,-8.252622604370117
48000,307.9389953613281
50000,44.13529586791992
52000,-11.723020553588867
54000,37.232601165771484
56000,179.2564239501953
58000,-9.051360130310059
60000,-10.581767082214355
62000,-15.465598106384277
64000,215.80368041992188
66000,25.038793563842773
68000,-13.007824897766113
70000,127.01040649414062
72000,215.2978515625
74000,4.127516746520996
76000,43.53474426269531
78000,282.44281005859375
80000,476.8746643066406
82000,512.897216796875
84000,338.19146728515625
86000,-7.189946174621582
88000,260.073974609375
90000,-10.46615982055664
92000,124.3208236694336
94000,302.0062255859375
96000,208.30894470214844
98000,45.19647979736328
100000,-11.291361808776855
