step,stat/ep_reward
2000,0.41806743740452934
4000,0.360956952388808
6000,0.3651509649113239
8000,0.38752773828726284
10000,0.3784219484910176
12000,0.36300054771453494
14000,0.27417486209008146
16000,0.407251983887101
18000,0.36043217006618244
20000,0.3551673944530241
22000,0.3226777018586034
24000,0.3285335350571089
26000,0.31131749110254053
28000,0.3104897856873114
30000,0.4436427944782516
32000,0.42379384864601705
34000,0.2901202934528716
36000,0.4478300648621213
38000,0.31938942760976
40000,0.2085843797596688
42000,0.24790699098843438
44000,0.2414248338617429
46000,0.25150265355623047
48000,0.27138648935532783
50000,0.31139913470656194
52000,0.33530893793985206
54000,0.3627434733068139
56000,0.4335269530084892
58000,0.1971828062388447
60000,0.263941717924066
62000,0.2820497300894604
64000,0.2941503562791069
66000,0.2607509489123446
68000,0.34289419366203777
70000,0.3344976151145838
72000,0.33378788603054427
74000,0.3153348219688153
76000,0.3048812128248971
78000,0.2682174618597235
80000,0.2869363241743548
82000,0.2827621617658457
84000,0.32372414467329563
86000,0.2911020970146116
88000,0.2548619238807404
90000,0.25178779003988716
92000,0.26515997565313176
94000,0.2684522166543313
96000,0.3091476407630709
98000,0.2818888496969084
100000,0.17966181080883245
