step,stat/ep_constraint_violation
2000,10.7
4000,12.1
6000,12.0
8000,12.7
10000,18.4
12000,17.1
14000,14.9
16000,18.9
18000,17.5
20000,15.6
22000,17.5
24000,17.5
26000,18.4
28000,27.7
30000,19.8
32000,19.5
34000,17.1
36000,21.4
38000,27.6
40000,20.3
42000,24.9
44000,16.2
46000,20.7
48000,20.9
50000,21.3
52000,23.5
54000,22.5
56000,19.5
58000,21.3
60000,18.5
62000,17.8
64000,17.3
66000,18.1
68000,23.2
70000,22.6
72000,20.6
74000,22.4
76000,24.7
78000,38.3
80000,33.1
82000,34.5
84000,36.1
86000,33.3
88000,21.6
90000,40.4
92000,37.5
94000,48.1
96000,45.6
98000,46.8
100000,13.8
