step,stat/ep_constraint_violation
2000,10.0
4000,10.7
6000,12.2
8000,11.4
10000,17.4
12000,19.0
14000,19.8
16000,17.6
18000,17.7
20000,14.6
22000,20.0
24000,19.5
26000,21.7
28000,21.2
30000,16.3
32000,21.0
34000,19.1
36000,20.0
38000,18.3
40000,18.0
42000,22.5
44000,25.4
46000,21.0
48000,28.6
50000,30.1
52000,31.6
54000,29.1
56000,30.3
58000,29.9
60000,32.5
62000,28.8
64000,29.8
66000,33.1
68000,28.3
70000,26.1
72000,27.5
74000,30.5
76000,20.2
78000,27.1
80000,28.8
82000,20.3
84000,29.7
86000,30.7
88000,32.3
90000,29.8
92000,27.3
94000,26.0
96000,28.1
98000,24.4
100000,23.5
