step,adv_reward/adv_reward_raw_max
2000,2.8937740325927734
4000,231.241943359375
6000,151.47216796875
8000,-7.32365608215332
10000,152.98092651367188
12000,30.648483276367188
14000,397.8890380859375
16000,147.6195068359375
18000,97.7245101928711
20000,307.9271545410156
22000,-2.8136796951293945
24000,-9.44498348236084
26000,240.84364318847656
28000,300.90008544921875
30000,88.3586654663086
32000,189.4727783203125
34000,246.9733123779297
36000,-7.743582248687744
38000,154.40216064453125
40000,-1.5852712392807007
42000,177.74583435058594
44000,-4.480072498321533
46000,25.12445068359375
48000,40.29363250732422
50000,274.3726501464844
52000,-3.74839186668396
54000,119.71977996826172
56000,362.0636291503906
58000,391.9729919433594
60000,203.22621154785156
62000,466.21820068359375
64000,237.88323974609375
66000,470.6745910644531
68000,481.0935363769531
70000,24.339683532714844
72000,451.3855285644531
74000,320.8550720214844
76000,433.6092224121094
78000,561.4022216796875
80000,617.516357421875
82000,719.371337890625
84000,492.4334411621094
86000,370.6351623535156
88000,455.0238037109375
90000,211.36434936523438
92000,652.217529296875
94000,603.4353637695312
96000,547.7056274414062
98000,639.7490234375
100000,337.51171875
