step,adv_reward/adv_reward_raw_mean
2000,-5.060359477996826
4000,206.42654418945312
6000,148.33737182617188
8000,-8.523466110229492
10000,147.69815063476562
12000,28.552804946899414
14000,388.19000244140625
16000,133.71627807617188
18000,96.4538345336914
20000,283.42864990234375
22000,-10.269271850585938
24000,-10.93431568145752
26000,231.0948486328125
28000,277.26275634765625
30000,86.51329803466797
32000,187.85922241210938
34000,237.15647888183594
36000,-10.138553619384766
38000,149.45709228515625
40000,-7.104197025299072
42000,176.28024291992188
44000,-9.584543228149414
46000,7.256574630737305
48000,38.72046661376953
50000,268.8246765136719
52000,-8.692781448364258
54000,118.27943420410156
56000,354.8699951171875
58000,387.0118713378906
60000,200.29287719726562
62000,461.28411865234375
64000,225.0789031982422
66000,469.0032958984375
68000,457.01251220703125
70000,1.648087501525879
72000,449.947265625
74000,210.82861328125
76000,406.23095703125
78000,559.8812866210938
80000,436.53778076171875
82000,700.0293579101562
84000,490.0678405761719
86000,366.72003173828125
88000,450.7168273925781
90000,206.87539672851562
92000,643.6929321289062
94000,601.25341796875
96000,545.927001953125
98000,632.6182861328125
100000,329.1007385253906
