step,loss/approx_kl
2000,-0.059534797266436124
4000,-0.03669721928890794
6000,-0.0878652201887841
8000,-0.04374755769968034
10000,-0.08292316761799157
12000,-0.04950218852609396
14000,-0.035560771442639326
16000,-0.018890789158952728
18000,-0.02930656389798969
20000,-0.028454956280378002
22000,0.03588074832999458
24000,-0.06902101205196233
26000,-0.052468962532778586
28000,-0.04368048323473583
30000,-0.04325115107931197
32000,-0.04522676849737763
34000,0.06036863283564646
36000,-0.021106530741478006
38000,-0.04648859087998668
40000,-0.06519580917277683
42000,-0.06421672984336813
44000,-0.05350644663752367
46000,-0.0578058886496971
48000,-0.03239597914895663
50000,-0.04636835437268019
52000,-0.04073891750692079
54000,-0.048641462468852606
56000,-0.07659130332370599
58000,-0.07299020148348065
60000,-0.055565776536241174
62000,-0.041805746491687994
64000,-0.06143034640699625
66000,-0.024357238636973005
68000,-0.02729942728765309
70000,-0.06035006262051562
72000,-0.0745848489071553
74000,-0.004633482305022578
76000,-0.04422840525706609
78000,-0.004669292084872722
80000,-0.04302217029035091
82000,0.01987302546234181
84000,-0.04374320454274615
86000,0.022560934311089416
88000,-0.03874212446777771
90000,-0.024636968892688554
92000,0.12607117554483313
94000,0.1409095837113758
96000,0.16231402922421695
98000,-0.022955273371189834
100000,-0.045248449865418185
