step,stat/ep_reward
2000,0.4684496918215717
4000,0.3562583994127448
6000,0.26484529657140676
8000,0.40476378032158766
10000,0.4368941859967926
12000,0.3014621108062809
14000,0.4211283565932672
16000,0.2527925353562766
18000,0.4146944525950348
20000,0.2681627431497912
22000,0.3515171970975842
24000,0.3258366982874995
26000,0.3125029169981752
28000,0.39911432438105326
30000,0.3557866601708694
32000,0.2952202252234496
34000,0.21194090777207264
36000,0.3351768446676463
38000,0.29470209013012677
40000,0.3767955845949593
42000,0.3708139333474712
44000,0.3305153694653001
46000,0.32095410764283167
48000,0.27902538157912915
50000,0.33941956109019233
52000,0.3273224321316762
54000,0.20293760158486357
56000,0.3318578935737117
58000,0.3399502844417111
60000,0.2562901902062885
62000,0.29410614017573733
64000,0.28628339391922253
66000,0.30291434863786015
68000,0.23662222844554598
70000,0.30162314207368335
72000,0.2845569715135893
74000,0.25766193963285383
76000,0.23209432495112065
78000,0.24820908394760327
80000,0.27300530796751676
82000,0.2600033649753768
84000,0.22908302073814935
86000,0.2709291518210292
88000,0.23760185105462192
90000,0.2061456437305028
92000,0.24414454791063678
94000,0.20579679704935847
96000,0.3366993770409311
98000,0.3572521834373973
100000,0.246633459011827
