step,adv_reward/adv_reward_scaled_mean
2000,100.0
4000,50.00008010864258
6000,100.0
8000,-44.32709503173828
10000,71.12458801269531
12000,99.994384765625
14000,50.00008010864258
16000,99.99999237060547
18000,-72.20178985595703
20000,100.0
22000,-28.065261840820312
24000,99.99910736083984
26000,100.0
28000,-44.58319854736328
30000,68.63459777832031
32000,100.0
34000,-63.387359619140625
36000,85.88539123535156
38000,100.0
40000,99.98543548583984
42000,99.9864273071289
44000,-22.00204849243164
46000,100.0
48000,100.0
50000,-39.555458068847656
52000,-45.20233917236328
54000,100.0
56000,-47.06142807006836
58000,99.99971008300781
60000,63.84477996826172
62000,-65.07117462158203
64000,100.0
66000,99.99723815917969
68000,100.0
70000,99.95217895507812
72000,100.0
74000,100.0
76000,100.0
78000,99.97859191894531
80000,-49.91399383544922
82000,100.0
84000,-70.85047912597656
86000,-57.65169906616211
88000,99.98585510253906
90000,100.0
92000,100.0
94000,100.0
96000,100.0
98000,100.0
100000,-57.89091873168945
