step,stat/ep_length
2000,12.2
4000,14.5
6000,31.3
8000,34.0
10000,41.8
12000,41.6
14000,40.6
16000,52.7
18000,44.1
20000,60.0
22000,67.2
24000,69.9
26000,105.1
28000,67.2
30000,84.2
32000,59.0
34000,91.7
36000,36.6
38000,83.6
40000,113.8
42000,101.1
44000,33.8
46000,69.8
48000,88.8
50000,101.9
52000,118.9
54000,145.5
56000,38.6
58000,55.8
60000,83.2
62000,44.6
64000,85.0
66000,80.2
68000,143.9
70000,107.8
72000,34.8
74000,60.7
76000,55.0
78000,59.9
80000,90.5
82000,146.6
84000,150.0
86000,126.3
88000,110.0
90000,92.2
92000,106.7
94000,96.4
96000,148.7
98000,117.3
100000,78.3
