step,stat/ep_constraint_violation
2000,9.4
4000,11.5
6000,16.9
8000,18.6
10000,18.8
12000,18.9
14000,20.5
16000,22.9
18000,25.7
20000,30.0
22000,33.4
24000,31.2
26000,43.7
28000,35.7
30000,39.9
32000,27.4
34000,37.1
36000,16.8
38000,26.7
40000,32.5
42000,29.3
44000,17.1
46000,27.9
48000,37.5
50000,25.4
52000,39.4
54000,30.5
56000,19.6
58000,27.1
60000,25.2
62000,23.1
64000,25.5
66000,29.4
68000,43.6
70000,36.9
72000,20.8
74000,25.3
76000,23.9
78000,27.5
80000,32.5
82000,26.5
84000,28.2
86000,36.0
88000,27.7
90000,27.9
92000,31.7
94000,29.5
96000,36.1
98000,27.9
100000,15.2
