step,stat/constraint_violation
2000,1204
4000,2374
6000,3578
8000,4717
10000,5727
12000,6784
14000,7743
16000,8583
18000,9577
20000,10390
22000,11287
24000,12116
26000,12733
28000,13552
30000,14362
32000,15100
34000,15633
36000,16662
38000,17256
40000,17792
42000,18296
44000,19214
46000,20020
48000,20600
50000,21001
52000,21564
54000,22046
56000,22728
58000,23601
60000,24183
62000,24964
64000,25583
66000,26205
68000,26682
70000,27210
72000,27975
74000,28675
76000,29307
78000,30094
80000,30707
82000,31121
84000,31573
86000,31963
88000,32352
90000,32980
92000,33426
94000,34016
96000,34626
98000,34980
100000,35275
