step,adv_reward/adv_reward_raw_min
2000,142.19337463378906
4000,277.51226806640625
6000,304.4197082519531
8000,88.66657257080078
10000,66.2232666015625
12000,201.30360412597656
14000,342.5895690917969
16000,-11.788846969604492
18000,225.53675842285156
20000,25.500072479248047
22000,153.30104064941406
24000,174.33627319335938
26000,17.11829376220703
28000,-100.0
30000,-22.044748306274414
32000,183.07669067382812
34000,225.2469940185547
36000,163.9269561767578
38000,49.58248519897461
40000,-22.571334838867188
42000,147.95785522460938
44000,184.98878479003906
46000,432.2629699707031
48000,543.6510009765625
50000,250.5036163330078
52000,-100.0
54000,432.4868469238281
56000,66.77513122558594
58000,428.7176818847656
60000,547.4702758789062
62000,522.6622924804688
64000,437.7768249511719
66000,379.3630065917969
68000,68.10503387451172
70000,696.4204711914062
72000,674.8671875
74000,80.8852767944336
76000,412.923828125
78000,649.8087768554688
80000,319.25665283203125
82000,198.4344940185547
84000,668.5531005859375
86000,-100.0
88000,340.82928466796875
90000,274.994140625
92000,274.1575622558594
94000,-100.0
96000,679.1586303710938
98000,-100.0
100000,464.2596435546875
