step,stat/ep_constraint_violation
2000,9.6
4000,11.0
6000,12.1
8000,13.0
10000,17.6
12000,19.0
14000,18.1
16000,23.5
18000,18.5
20000,18.3
22000,20.3
24000,20.9
26000,20.8
28000,22.4
30000,21.5
32000,21.9
34000,27.8
36000,20.7
38000,21.5
40000,25.1
42000,29.4
44000,15.8
46000,19.0
48000,22.2
50000,23.1
52000,30.8
54000,30.9
56000,38.4
58000,23.2
60000,28.6
62000,35.7
64000,27.4
66000,20.0
68000,29.4
70000,24.3
72000,23.1
74000,25.7
76000,25.5
78000,21.0
80000,20.8
82000,31.4
84000,19.7
86000,30.8
88000,23.2
90000,33.4
92000,27.4
94000,31.2
96000,32.6
98000,13.3
100000,28.5
