step,loss/entropy_loss
10000,-1.8378770351409912
20000,-1.8378770351409912
30000,-1.8378770351409912
40000,-1.8378770351409912
50000,-1.8378770351409912
60000,-1.8378770351409912
70000,-1.8378770351409912
80000,-1.8378770351409912
90000,-1.8378770351409912
100000,-1.8378770351409912
110000,-1.8378770351409912
120000,-1.8378770351409912
130000,-1.8378770351409912
140000,-1.8378770351409912
150000,-1.8378770351409912
160000,-1.8378770351409912
170000,-1.8378770351409912
180000,-1.8378770351409912
190000,-1.8378770351409912
200000,-1.8378770351409912
210000,-1.8378770351409912
220000,-1.8378770351409912
230000,-1.8378770351409912
240000,-1.8378770351409912
250000,-1.8378770351409912
260000,-1.8378770351409912
270000,-1.8378770351409912
280000,-1.8378770351409912
290000,-1.8378770351409912
300000,-1.8378770351409912
310000,-1.8378770351409912
320000,-1.8378770351409912
330000,-1.8378770351409912
340000,-1.8378770351409912
350000,-1.8378770351409912
360000,-1.8378770351409912
370000,-1.8378770351409912
380000,-1.8378770351409912
390000,-1.8378770351409912
400000,-1.8378770351409912
410000,-1.8378770351409912
420000,-1.8378770351409912
430000,-1.8378770351409912
440000,-1.8378770351409912
450000,-1.8378770351409912
460000,-1.8378770351409912
470000,-1.8378770351409912
480000,-1.8378770351409912
490000,-1.8378770351409912
500000,-1.8378770351409912
