step,loss/policy_loss
10000,0.15964930602439892
20000,0.22896065206664526
30000,0.3020444774495302
40000,0.07519981801221236
50000,0.0725500420088409
60000,0.05879349998874859
70000,0.1730037557676018
80000,0.051410237286616964
90000,0.15152184313428263
100000,0.042955134508732895
110000,0.2080805507612476
120000,0.07532578103498504
130000,0.06902617935493051
140000,0.005380655010000086
150000,0.04140735207016873
160000,0.09764378948975012
170000,0.07220504182619322
180000,1.0961824185943896
190000,0.07704345506056479
200000,0.08898982301439677
210000,0.09592140738866166
220000,0.12738070645531002
230000,0.10239479645161412
240000,0.3053660254734592
250000,0.15142061598532935
260000,0.1185781740422113
270000,0.09774625503675285
280000,0.03338103188436911
290000,0.08993976784630077
300000,0.18965373034220082
310000,0.07533507738570067
320000,0.2905741259725601
330000,0.15762564196515325
340000,0.05234965335448015
350000,0.07944594816458489
360000,0.16989954471237612
370000,0.18339737442839646
380000,0.07422335335966394
390000,0.1635397036420878
400000,0.07102183954447987
410000,0.08384695767658129
420000,0.025463367062479515
430000,0.05523268902215646
440000,0.0717576709597571
450000,0.050963973703916934
460000,0.17944464722908635
470000,0.17578361935276723
480000,0.3373830786572398
490000,0.10100769644167018
500000,0.05575004380194589
