step,loss/approx_kl
10000,21.5488622546196
20000,24.797899997234346
30000,6.563174875080586
40000,17.202239632606506
50000,10.028995448350907
60000,11.214141055941582
70000,13.455960273742676
80000,10.552873170375824
90000,15.957803511619568
100000,11.105318462848663
110000,9.07910788655281
120000,12.73458422422409
130000,29.830677843093873
140000,26.3515589594841
150000,19.86164582967758
160000,24.01328924894333
170000,31.596984934806823
180000,20.928311657905578
190000,15.855615055561065
200000,11.40695225894451
210000,36.371334719657895
220000,18.571351778507232
230000,17.52498108148575
240000,29.917287397384644
250000,28.927081060409545
260000,14.417842906713485
270000,28.960856902599335
280000,18.94369521141052
290000,25.460985946655274
300000,27.873918378353117
310000,19.101031363010406
320000,26.397103226184846
330000,22.31005220413208
340000,21.014355301856995
350000,25.45282530784607
360000,27.685503029823302
370000,32.15724849700928
380000,25.03688108921051
390000,19.741766703128814
400000,16.15536993741989
410000,32.88844826221466
420000,25.588441002368928
430000,28.194093179702758
440000,18.73404197692871
450000,20.626650524139404
460000,24.150075328350066
470000,28.250034403800964
480000,30.90986454486847
490000,28.35264105796814
500000,24.213461756706238
