step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,59.528735987413896
140000,55.71933505431358
150000,57.63897959779704
160000,41.52143513855596
170000,32.426823950777816
180000,52.41873602605549
190000,30.145868757648294
200000,41.89821926831399
210000,14.682474551354384
220000,60.63669883049164
230000,65.64700966590334
240000,34.845137211161784
250000,36.513282786871066
260000,46.97257162844804
270000,29.868685478120273
280000,57.143954924162344
290000,23.66952394587595
300000,21.240612056990308
310000,43.72036789513755
320000,71.11402192714442
330000,34.18424081601894
340000,48.077424753729744
350000,44.648661163626045
360000,49.06843712319197
370000,30.764027236230284
380000,30.893639846105792
390000,73.53370668034137
400000,40.533920174792556
410000,50.82616634999469
420000,41.4447762315276
430000,30.083369709169308
440000,47.89040078660067
450000,67.08180023744346
460000,50.22716294897048
470000,22.594267826643016
480000,25.341340979918392
490000,53.407943705430036
500000,66.49189694473392
