step,stat/step_time
10000,3.699892282485962
20000,3.88875150680542
30000,3.9599814414978027
40000,3.8685481548309326
50000,3.7541000843048096
60000,3.9876139163970947
70000,3.54429030418396
80000,3.694814920425415
90000,3.807706832885742
100000,3.813626527786255
110000,3.7606356143951416
120000,3.8484671115875244
130000,3.5768423080444336
140000,3.786916971206665
150000,3.7487401962280273
160000,4.106822729110718
170000,4.127610445022583
180000,3.8653249740600586
190000,3.979949474334717
200000,4.31709098815918
210000,4.541605472564697
220000,3.8799824714660645
230000,3.860321283340454
240000,3.8910939693450928
250000,4.081022262573242
260000,4.165165662765503
270000,3.792722702026367
280000,3.8438949584960938
290000,4.0160300731658936
300000,4.2222371101379395
310000,3.94339656829834
320000,3.7210447788238525
330000,4.023172855377197
340000,6.713332414627075
350000,4.0315399169921875
360000,3.8564136028289795
370000,3.909677505493164
380000,4.113751411437988
390000,3.8792903423309326
400000,4.178718328475952
410000,5.317707777023315
420000,4.0263755321502686
430000,4.398539066314697
440000,3.9697251319885254
450000,3.7617602348327637
460000,4.030927419662476
470000,4.146230697631836
480000,4.44549822807312
490000,3.8194637298583984
500000,3.9004552364349365
