step,stat/ep_length
2000,14.1
4000,13.4
6000,28.1
8000,29.6
10000,14.9
12000,30.0
14000,30.2
16000,14.4
18000,29.3
20000,28.7
22000,16.9
24000,29.1
26000,27.7
28000,16.7
30000,31.4
32000,28.1
34000,15.3
36000,28.4
38000,27.9
40000,16.7
42000,29.8
44000,31.4
46000,17.4
48000,30.7
50000,28.9
52000,18.3
54000,32.1
56000,28.9
58000,17.9
60000,30.3
62000,31.5
64000,18.1
66000,31.8
68000,30.9
70000,18.8
72000,33.8
74000,29.4
76000,17.9
78000,29.8
80000,30.9
82000,18.7
84000,29.9
86000,29.4
88000,19.4
90000,31.6
92000,29.9
94000,19.0
96000,32.4
98000,30.1
100000,17.6
