step,loss/approx_kl
2000,0.046883131765450045
4000,0.09269975158385932
6000,0.13461437361935774
8000,0.15669112354516984
10000,0.08139128936454652
12000,0.2874711856245994
14000,0.2542725093662739
16000,0.12160958461463452
18000,0.2514542106539011
20000,0.14184287786483765
22000,0.2732581385721763
24000,0.23821524331967034
26000,0.13556477349872392
28000,0.18096128832548858
30000,0.35010547091563543
32000,0.22054182849824427
34000,0.12951763616874815
36000,0.2582261765996615
38000,0.2315351561953624
40000,0.2873367334405581
42000,0.34485086674491566
44000,0.18316512287904824
46000,0.2977327607572079
48000,0.37405130416154864
50000,0.19294537069896855
52000,0.13962349003801744
54000,0.25000647890071076
56000,0.11762437516202531
58000,0.11575372233055532
60000,0.3717271727820238
62000,0.2949814746777216
64000,0.21771448502937957
66000,0.4849942912658056
68000,0.4594371393322946
70000,0.15712904495497543
72000,0.2820071682333946
74000,0.3990851911405723
76000,0.467461371421814
78000,0.6395256613691648
80000,0.2763215622554223
82000,0.4619325719773769
84000,0.2875872363646825
86000,0.4028133561213812
88000,0.25230197149018446
90000,0.6369283393025398
92000,0.31579611351092657
94000,0.24484710240115723
96000,0.7099349911014238
98000,0.4024111627290646
100000,0.5763094738125802
