step,loss/policy_loss
2000,-0.004019062741283686
4000,0.007865531721590043
6000,0.008263762651178515
8000,-0.008788743894764691
10000,0.034499451420367665
12000,-0.01655579432434702
14000,-0.01619035774610427
16000,0.0035505589247069405
18000,-0.005787817923724805
20000,0.02129451455464699
22000,0.016618363080936265
24000,0.013536085036476266
26000,0.012554820748067543
28000,0.01238448269957544
30000,0.0031497705304001132
32000,0.007437255542870854
34000,0.00925207163572365
36000,0.00017795335082117225
38000,0.032320481121073545
40000,0.028519517751901945
42000,0.011546953954847419
44000,0.007754836364916115
46000,0.015083815280290574
48000,0.03944024455896994
50000,0.0033247063910183386
52000,0.004292542144443883
54000,0.1029685108096493
56000,0.03324463747178475
58000,0.18350938447248066
60000,0.04351748859518707
62000,0.016235479254553667
64000,0.058027257800785804
66000,0.0550582170401393
68000,0.09700017477686126
70000,0.03179856811271988
72000,0.08647792650793075
74000,0.04917541800687852
76000,0.05019237952342569
78000,0.08625358454689833
80000,0.04842946822580903
82000,0.10470118574189695
84000,0.05925343736796905
86000,0.0733200694857379
88000,0.08362345815771573
90000,0.07875782908006233
92000,0.037413892756637986
94000,0.06496448667683746
96000,0.12070129010160588
98000,0.15469331005558504
100000,0.14208837795181756
