step,stat/constraint_violation
2000,1301
4000,2655
6000,4244
8000,5665
10000,7140
12000,8673
14000,10099
16000,11535
18000,13106
20000,14492
22000,15920
24000,17416
26000,18834
28000,20249
30000,21722
32000,23125
34000,24626
36000,26126
38000,27484
40000,28939
42000,30309
44000,31471
46000,32513
48000,33605
50000,34463
52000,35202
54000,35975
56000,36567
58000,37426
60000,37968
62000,38595
64000,39180
66000,39678
68000,40186
70000,40827
72000,41674
74000,42275
76000,42891
78000,43592
80000,44095
82000,44659
84000,45357
86000,45845
88000,46461
90000,47232
92000,47680
94000,48197
96000,48868
98000,49241
100000,49670
