step,loss/entropy_loss
2000,-0.9201536605755489
4000,-0.920009195804596
6000,-0.9172168970108032
8000,-0.9170820116996765
10000,-0.9161613235870998
12000,-0.9159974455833435
14000,-0.9159974455833435
16000,-0.9159345626831055
18000,-0.9159345626831055
20000,-0.9159345626831055
22000,-0.9159345626831055
24000,-0.9159345626831055
26000,-0.9159345626831055
28000,-0.9159345626831055
30000,-0.9159345626831055
32000,-0.9159345626831055
34000,-0.9159345626831055
36000,-0.9159345626831055
38000,-0.9162800908088684
40000,-0.9162800908088684
42000,-0.9162800908088684
44000,-0.9162800908088684
46000,-0.9163841366767883
48000,-0.9164475202560425
50000,-0.9164475202560425
52000,-0.9164475202560425
54000,-0.9164475202560425
56000,-0.9164783954620361
58000,-0.9164773921171824
60000,-0.9163795113563538
62000,-0.9163795113563538
