step,loss/approx_kl
2000,0.12537132650613786
4000,0.268954611197114
6000,0.6386738727490107
8000,0.5286428550879161
10000,0.16817931088929375
12000,0.21918795835226773
14000,0.6151194408535956
16000,0.5968984027703603
18000,0.8755398720502854
20000,0.6679438024759292
22000,0.5844542697072029
24000,0.873467258612315
26000,0.6524826049804687
28000,0.5798904945453007
30000,0.2361048731952906
32000,0.7065150852004687
34000,0.5883201186855634
36000,0.8842414682110151
38000,0.6772081087032953
40000,0.5564686660965285
42000,0.8801679834723473
44000,0.5153044472138087
46000,0.13319215311979254
48000,0.978655249873797
50000,0.6416772330800692
52000,0.6577459899087748
54000,0.9537738492091495
56000,0.578436499585708
58000,0.09989327124009531
60000,0.2556744903946916
62000,0.6445428455869358
