step,adv_reward/adv_reward_scaled_mean
2000,98.97969818115234
4000,100.0
6000,100.0
8000,100.0
10000,99.99822998046875
12000,-64.47686767578125
14000,50.00008010864258
16000,-51.564544677734375
18000,100.0
20000,-23.631080627441406
22000,99.99989318847656
24000,100.0
26000,100.0
28000,99.95984649658203
30000,-69.22015380859375
32000,100.0
34000,100.0
36000,-69.0218505859375
38000,100.0
40000,-59.7384033203125
42000,100.0
44000,99.99797058105469
46000,-59.42174530029297
48000,99.99993896484375
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,-64.10169982910156
60000,89.27488708496094
62000,-57.71233367919922
64000,85.77436828613281
66000,-59.222190856933594
68000,-19.59548568725586
70000,100.0
72000,100.0
74000,-65.61715698242188
76000,-61.15199661254883
78000,66.299072265625
80000,100.0
82000,100.0
84000,100.0
86000,100.0
88000,99.99883270263672
90000,-61.66019821166992
92000,-68.24617004394531
94000,100.0
96000,99.99999237060547
98000,22.450183868408203
100000,-53.999183654785156
